,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
4814,1_41_91_3_3,Sevilla,Sevilla,Andalucía,129210.73,1745.0,0.46,0.54,0.25,0.7,0.06,0.01,0.22,0.52,0.25,13505.1,49359.0,0.99,0.01,740.0,0.76
4815,1_41_24_4_6,Carmona,Sevilla,Andalucía,249836.52,1920.0,0.55,0.45,0.27,0.64,0.08,0.11,0.57,0.04,0.27,7685.0,21566.0,0.98,0.02,695.0,0.91
4816,1_41_24_4_7,Carmona,Sevilla,Andalucía,151572.85,1515.0,0.52,0.48,0.1,0.83,0.08,0.16,0.65,0.1,0.1,9995.2,22133.0,1.0,0.0,495.0,0.93
4817,1_41_24_5_1,Carmona,Sevilla,Andalucía,237461.71,1190.0,0.53,0.47,0.19,0.64,0.16,0.18,0.54,0.08,0.19,5011.3,23723.0,0.96,0.04,555.0,0.77
4818,1_41_24_5_2,Carmona,Sevilla,Andalucía,103143.9,1240.0,0.36,0.63,0.19,0.62,0.19,0.17,0.56,0.08,0.19,12022.0,23347.0,0.95,0.05,525.0,0.85
4819,1_41_55_2_7,Lora del Río,Sevilla,Andalucía,129465.56,925.0,0.54,0.46,0.22,0.71,0.07,0.12,0.61,0.05,0.22,7144.8,19087.0,0.9,0.1,325.0,1.0
4820,1_41_24_5_3,Carmona,Sevilla,Andalucía,247127.26,2525.0,0.51,0.49,0.2,0.72,0.08,0.13,0.65,0.03,0.2,10217.4,22159.0,1.0,0.0,750.0,1.0
4821,1_41_24_5_4,Carmona,Sevilla,Andalucía,196955.64,2055.0,0.52,0.48,0.18,0.67,0.15,0.17,0.54,0.12,0.18,10433.8,25005.0,1.0,0.0,700.0,0.96
4822,1_41_24_5_5,Carmona,Sevilla,Andalucía,156571.18,1295.0,0.55,0.45,0.28,0.67,0.05,0.04,0.65,0.03,0.28,8271.0,22351.0,1.0,0.0,420.0,0.96
4823,1_41_24_6_1,Carmona,Sevilla,Andalucía,47930822.51,1305.0,0.56,0.44,0.18,0.74,0.08,0.23,0.57,0.02,0.18,27.2,16792.0,0.99,0.01,485.0,0.96
4824,1_41_24_6_2,Carmona,Sevilla,Andalucía,375398058.14,1940.0,0.54,0.46,0.2,0.62,0.18,0.08,0.55,0.17,0.2,5.2,22385.0,0.9,0.1,2300.0,0.32
4825,1_41_24_6_3,Carmona,Sevilla,Andalucía,498327694.77,1755.0,0.54,0.46,0.16,0.76,0.08,0.12,0.61,0.11,0.16,3.5,20213.0,0.95,0.05,2480.0,0.26
4826,1_41_24_6_4,Carmona,Sevilla,Andalucía,329898.2,910.0,0.42,0.58,0.25,0.71,0.04,0.08,0.6,0.07,0.25,2758.4,24307.0,1.0,0.0,375.0,0.79
4827,1_41_25_1_1,Carrión de los Céspedes,Sevilla,Andalucía,1728223.88,1535.0,0.51,0.49,0.15,0.71,0.14,0.1,0.6,0.15,0.15,888.2,21197.0,0.95,0.05,685.0,0.84
4828,1_41_25_2_1,Carrión de los Céspedes,Sevilla,Andalucía,4291087.05,985.0,0.44,0.56,0.17,0.63,0.21,0.16,0.56,0.12,0.17,229.5,21216.0,0.96,0.04,590.0,0.62
4829,1_41_26_1_2,Casariche,Sevilla,Andalucía,8296515.77,1330.0,0.53,0.47,0.13,0.73,0.14,0.15,0.67,0.05,0.13,160.3,20291.0,1.0,0.0,740.0,0.71
4830,1_41_91_3_4,Sevilla,Sevilla,Andalucía,63783.91,1980.0,0.48,0.52,0.16,0.65,0.19,0.08,0.39,0.37,0.16,31042.3,31978.0,0.98,0.02,820.0,1.0
4831,1_41_26_1_1,Casariche,Sevilla,Andalucía,43905004.47,1845.0,0.49,0.51,0.19,0.64,0.17,0.19,0.57,0.05,0.19,42.0,17522.0,0.96,0.04,775.0,0.82
4832,1_41_26_2_1,Casariche,Sevilla,Andalucía,372100.53,1405.0,0.51,0.49,0.23,0.65,0.12,0.17,0.56,0.04,0.23,3775.9,17665.0,0.87,0.13,680.0,0.71
4833,1_41_26_2_2,Casariche,Sevilla,Andalucía,310777.43,1050.0,0.51,0.49,0.15,0.69,0.16,0.18,0.58,0.1,0.15,3378.6,18746.0,0.99,0.01,540.0,0.73
4834,1_41_27_1_1,Castilblanco de los Arroyos,Sevilla,Andalucía,530474.37,2240.0,0.5,0.5,0.16,0.66,0.17,0.21,0.59,0.04,0.16,4222.6,18263.0,1.0,0.0,1225.0,0.65
4835,1_41_27_2_1,Castilblanco de los Arroyos,Sevilla,Andalucía,253612.77,1120.0,0.5,0.5,0.15,0.67,0.18,0.25,0.55,0.06,0.15,4416.2,17207.0,0.98,0.03,655.0,0.65
4836,1_41_27_2_2,Castilblanco de los Arroyos,Sevilla,Andalucía,323041845.46,1685.0,0.52,0.48,0.15,0.7,0.15,0.15,0.65,0.05,0.15,5.2,16897.0,0.99,0.01,1465.0,0.4
4837,1_41_28_1_1,Castilleja de Guzmán,Sevilla,Andalucía,2057638.41,2810.0,0.51,0.49,0.29,0.66,0.05,0.02,0.5,0.18,0.29,1365.6,34938.0,0.99,0.01,1070.0,0.79
4838,1_41_29_1_1,Castilleja de la Cuesta,Sevilla,Andalucía,165979.08,1950.0,0.45,0.55,0.19,0.71,0.09,0.03,0.58,0.18,0.19,11748.5,32868.0,1.0,0.0,675.0,0.84
4839,1_41_29_1_2,Castilleja de la Cuesta,Sevilla,Andalucía,149313.75,1565.0,0.49,0.51,0.09,0.71,0.2,0.13,0.61,0.18,0.09,10481.3,30193.0,1.0,0.0,575.0,0.9
4840,1_41_34_1_8,Coria del Río,Sevilla,Andalucía,95069.83,1660.0,0.55,0.45,0.2,0.77,0.03,0.1,0.65,0.05,0.2,17460.8,20239.0,0.98,0.02,750.0,0.75
4841,1_41_29_1_3,Castilleja de la Cuesta,Sevilla,Andalucía,366974.27,2135.0,0.45,0.55,0.12,0.68,0.19,0.17,0.54,0.17,0.12,5817.8,24256.0,0.97,0.03,960.0,0.84
