,Name,Province,Municipality,Date,SH2,SO2,NO2,CO,PART,O3,geometry
25,COBRE LAS CRUCES,SEVILLA,GUILLENA,2015-07-01,,1.421875,7.0687500000000005,230.62727272727273,26.54375,68.17187500000001,POINT (-6.036145321538837 37.55479486330152)
26,CORTIJILLOS,CADIZ,BARRIOS (LOS),2015-07-01,4.3,10.748387096774193,13.465625,340.04687499999994,,49.80937500000001,POINT (-5.435757767267622 36.19046080583075)
27,DOS HERMANAS,SEVILLA,DOS HERMANAS,2015-07-01,,4.933333333333334,14.7125,582.4296296296296,,68.51481481481481,POINT (-5.913843838237383 37.2845132304213)
28,E1: COLEGIO LOS BARRIOS,CADIZ,BARRIOS (LOS),2015-07-01,,12.809375000000001,17.178124999999998,,31.228125,,POINT (-5.488878340182611 36.18563707858645)
29,E2:ALCORNOCALES,CADIZ,BARRIOS (LOS),2015-07-01,,6.79375,9.360714285714284,,34.42187499999999,80.515625,POINT (-5.663672396284856 36.23373664042163)
30,E3: COLEGIO CARTEYA,CADIZ,SAN ROQUE,2015-07-01,,4.746875000000001,17.96875,,37.584375,72.19062499999998,POINT (-5.391428513125806 36.20879765231249)
31,E4:RINCONCILLO,CADIZ,ALGECIRAS,2015-07-01,,13.246153846153845,26.174074074074067,,51.91851851851852,,POINT (-5.442583247955641 36.16175626687351)
32,E5: PALMONES,CADIZ,BARRIOS (LOS),2015-07-01,,8.95625,25.071875,,33.51875,,POINT (-5.432761245531878 36.17468770448831)
33,E6: ESTACION DE FFCC S. ROQUE,CADIZ,SAN ROQUE,2015-07-01,,11.151724137931035,11.329032258064514,,29.109375,,POINT (-5.430308024723687 36.2119764761002)
34,E7:EL ZABAL,CADIZ,LINEA DE LA CONCEPCION (LA),2015-07-01,,13.046875,21.296666666666667,,34.596296296296295,,POINT (-5.341824186312244 36.17288547216037)
35,ECONOMATO,CADIZ,SAN ROQUE,2015-07-01,,17.015625,22.287499999999998,,,,POINT (-5.380810475453659 36.18621015013454)
